run_id,agent_id,update,distraction_sigs,fitness,fun_cnt,fun_used,inst_entropy,sim_thresh
271,565,100000,0,46.92,28,4.0,5.04956,0.866521
271,15,100000,0,256.0,32,16.0,5.29715,0.0247039
271,467,100000,0,80.78,32,5.0,5.2558,0.755963
271,282,100000,0,256.0,32,18.0,5.23217,0.410958
271,184,100000,0,256.0,30,19.0,5.38713,0.297513
271,326,100000,0,256.0,31,27.92,5.16468,0.482989
271,536,100000,0,123.78,32,8.0,5.27116,0.821446
271,27,100000,0,256.0,32,26.82,5.08322,0.0224306
271,519,100000,0,256.0,32,22.92,5.14613,0.796625
271,236,100000,0,80.03,25,7.09,4.72327,0.381923
271,101,100000,0,33.23,2,2.0,1,0.163863
271,612,100000,0,35.35,32,16.25,4.93009,0.936688
271,113,100000,0,256.0,32,16.0,5.18708,0.201568
271,314,100000,0,256.0,32,16.6,5.22322,0.465366
271,93,100000,0,256.0,32,27.91,4.88648,0.103067
271,367,100000,0,46.01,4,4.0,1.92228,0.564409
271,272,100000,0,100.23,31,10.84,4.86201,0.413647
271,206,100000,0,66.52,25,8.37,4.73447,0.348975
271,248,100000,0,256.0,32,16.66,4.41374,0.357915
271,366,100000,0,49.5,4,3.75,1.92228,0.564409
271,307,100000,0,131.92,31,10.19,5.06385,0.491886
271,12,100000,0,93.17,32,11.29,4.7358,0.0355656
271,215,100000,0,256.0,31,16.59,5.00806,0.340725
271,177,100000,0,203.57,31,15.47,5.31623,0.253897
271,299,100000,0,23.39,2,2.0,2.75,0.502719
271,384,100000,0,256.0,32,21.8,5.31295,0.58159
271,42,100000,0,106.45,32,9.32,4.69247,0.0638062
271,334,100000,0,47.62,4,4.0,1.5,0.512704
271,413,100000,0,256.0,32,16.57,5.39595,0.609237
271,50,100000,0,256.0,32,16.59,4.99978,0.0676103
271,292,100000,0,256.0,32,28.71,5.3223,0.425489
271,414,100000,0,256.0,32,19.33,5.26993,0.620738
271,490,100000,0,256.0,32,25.73,5.01224,0.750751
271,569,100000,0,74.03,31,7.67,5.2445,0.90738
271,14,100000,0,256.0,32,18.22,5.30651,0.0434373
